category,headline,short_description,content
Tech,The Carnivore Way: All Who Wander Are Not Lost,"Obstacles to this basic need to roam, such as human development, can provide formidable threats to long-term survival of many species. For the large carnivores, it's not just about losing the freedom to move, it's about losing a natural process.","The Carnivore Way: All Who Wander Are Not Lost Obstacles to this basic need to roam, such as human development, can provide formidable threats to long-term survival of many species. For the large carnivores, it's not just about losing the freedom to move, it's about losing a natural process."
Health,A Wakeup Call At Her Doctor's Office Inspired Sarah DeArmond To Lose 78 Pounds,After Weight: 122 pounds The Huffington Post publishes photographs as they are submitted to us by our readers. How I Lost,A Wakeup Call At Her Doctor's Office Inspired Sarah DeArmond To Lose 78 Pounds After Weight: 122 pounds The Huffington Post publishes photographs as they are submitted to us by our readers. How I Lost
Sports,Vegas Golden Knights Retire Jersey No. 58 To Honor Victims Of Last Year's Mass Shooting,The tribute came six months after the deadliest mass shooting in modern U.S. history.,Vegas Golden Knights Retire Jersey No. 58 To Honor Victims Of Last Year's Mass Shooting The tribute came six months after the deadliest mass shooting in modern U.S. history.
Tech,Where Pimps Peddle Their Goods,"I WENT on a walk in Manhattan the other day with a young woman who once had to work these streets, hired out by eight pimps","Where Pimps Peddle Their Goods I WENT on a walk in Manhattan the other day with a young woman who once had to work these streets, hired out by eight pimps"
Entertainment,Jimmy Fallon Looks At The Pros And Cons Of Female Viagra,Formerly known as wine.,Jimmy Fallon Looks At The Pros And Cons Of Female Viagra Formerly known as wine.
Politics,Trey Gowdy Aide Plays Down Report That Congressman Will Leave Congress,"Still, she left the door open to what Gowdy will do in 2016.","Trey Gowdy Aide Plays Down Report That Congressman Will Leave Congress Still, she left the door open to what Gowdy will do in 2016."
Sports,FIFA Corruption Draws SEC Scrutiny,A new front opens into the corruption scandal that has rocked FIFA and captured the attention of the sports world.,FIFA Corruption Draws SEC Scrutiny A new front opens into the corruption scandal that has rocked FIFA and captured the attention of the sports world.
Entertainment,'Walking Dead' Star Lauren Cohan Freaks Out Over Prank On 'Ellen',Zombies aren't even this bad.,'Walking Dead' Star Lauren Cohan Freaks Out Over Prank On 'Ellen' Zombies aren't even this bad.
Politics,"On the Eve of Another Low-Key Inaugural, Jerry Brown Heads Into a High-Key Term 4","The issues Brown is championing, in some cases for 40 years and more, dating back to his first gubernatorial inaugural in 1975 and before, are in many respects issues about the future of not only California but also the world.","On the Eve of Another Low-Key Inaugural, Jerry Brown Heads Into a High-Key Term 4 The issues Brown is championing, in some cases for 40 years and more, dating back to his first gubernatorial inaugural in 1975 and before, are in many respects issues about the future of not only California but also the world."
Tech,Computing a Cure for HIV: 9 Ways Supercomputers Help Scientists Understand and Treat the Virus,"Scientists harness the power of thousands of computer processors simultaneously to better understand how the HIV virus interacts with the cells it infects, to discover or design new drugs that can attack the virus at its weak spots and even to use genetic information about the exact variants of the virus to develop patient-specific treatments.","Computing a Cure for HIV: 9 Ways Supercomputers Help Scientists Understand and Treat the Virus Scientists harness the power of thousands of computer processors simultaneously to better understand how the HIV virus interacts with the cells it infects, to discover or design new drugs that can attack the virus at its weak spots and even to use genetic information about the exact variants of the virus to develop patient-specific treatments."
Sports,Washington State Quarterback Tyler Hilinski Found Dead In Apparent Suicide,Hilinski was widely expected to be the starter heading into the 2018 season.,Washington State Quarterback Tyler Hilinski Found Dead In Apparent Suicide Hilinski was widely expected to be the starter heading into the 2018 season.
Tech,Here's Proof That Chemical Reactions Are Mind-Blowingly Beautiful,,Here's Proof That Chemical Reactions Are Mind-Blowingly Beautiful 
Entertainment,Children's Books Colbert Thinks The NRA Should Update With Guns,"""Everybody Poops ... Involuntarily After Being Shot.""","Children's Books Colbert Thinks The NRA Should Update With Guns ""Everybody Poops ... Involuntarily After Being Shot."""
Business,Two Predictions You Can Take to the Bank,,Two Predictions You Can Take to the Bank 
Entertainment,Twitter Earned So Many Gold Stars Playing #TrumpDayCareActivities,"""Draft dodgeball,"" anyone?","Twitter Earned So Many Gold Stars Playing #TrumpDayCareActivities ""Draft dodgeball,"" anyone?"
Tech,Justine Sacco Apologizes For AIDS Tweet,"A former PR executive issued a formal apology over a tweet she sent earlier this week. ""Words cannot express how sorry I","Justine Sacco Apologizes For AIDS Tweet A former PR executive issued a formal apology over a tweet she sent earlier this week. ""Words cannot express how sorry I"
Health,Tobacco-Related Research Spending To Reach Up To $273 Million,"In 2009 the agency was given authority to regulate cigarettes, cigarette tobacco and roll-your-own tobacco, though not pipe","Tobacco-Related Research Spending To Reach Up To $273 Million In 2009 the agency was given authority to regulate cigarettes, cigarette tobacco and roll-your-own tobacco, though not pipe"
Sports,U.S. Men's Olympic Hockey Team Includes First Black Player In 98-Year History,"“I just think I’m another kid going to play in the Olympics.""","U.S. Men's Olympic Hockey Team Includes First Black Player In 98-Year History “I just think I’m another kid going to play in the Olympics."""
Tech,The Content Brief: What's Up With All the Hacking?,"Facebook, Apple and Twitter were all targeted recently as well, possibly by the same Eastern European gang. You can check","The Content Brief: What's Up With All the Hacking? Facebook, Apple and Twitter were all targeted recently as well, possibly by the same Eastern European gang. You can check"
Entertainment,'Colin Kaepernick' Reminds 'SNL' Who Was Right About The NFL All Along,"“Wow, so much stuff coming out about the NFL is maybe racist,” says Chris Redd's Kaepernick on ""SNL's"" cold open after the Jon Gruden scandal.","'Colin Kaepernick' Reminds 'SNL' Who Was Right About The NFL All Along “Wow, so much stuff coming out about the NFL is maybe racist,” says Chris Redd's Kaepernick on ""SNL's"" cold open after the Jon Gruden scandal."
Business,"(VIDEO) Publicis' Lévy Says, In Future, 'Ideas Will Be King'",,"(VIDEO) Publicis' Lévy Says, In Future, 'Ideas Will Be King' "
Sports,"NFL Week 4 Preview: Eagles, Steelers, Raiders, Falcons Looking To Recover From Slow Starts","Many thought the Redskins would be the NFC East’s best team. The offense has moved the ball, averaging over 370 yards a game","NFL Week 4 Preview: Eagles, Steelers, Raiders, Falcons Looking To Recover From Slow Starts Many thought the Redskins would be the NFC East’s best team. The offense has moved the ball, averaging over 370 yards a game"
Health,The Challenges and Joys of Unplugging Your Smartphone,"Choosing to temporarily turn off our devices disconnects us from our habits of overstimulation, which for some has become a powerful addiction that consumes waking hours and distracts us from being involved in whatever is happening in the present moment.","The Challenges and Joys of Unplugging Your Smartphone Choosing to temporarily turn off our devices disconnects us from our habits of overstimulation, which for some has become a powerful addiction that consumes waking hours and distracts us from being involved in whatever is happening in the present moment."
